team,team_code,group,coach,typical_formation,attacking_intent,defensive_organization,pressing_intensity,set_piece_usage,formation_flexibility,in_game_adaptability,squad_utilization,confidence,notes
Ecuador,ECU,E,Sebastian BECCACECE,5-3-2,0.42,0.75,0.50,0.55,2,0.58,0.40,expert_prior,Beccacece hardened defensive block
Egypt,EGY,G,Hossam HASSAN,4-2-3-1,0.58,0.55,0.42,0.58,2,0.50,0.40,expert_prior,Hassan Salah-centric new coach
England,ENG,L,Thomas TUCHEL,3-4-2-1,0.72,0.82,0.78,0.55,4,0.85,0.50,expert_prior,Tuchel structured elite pressing
France,FRA,I,Didier DESCHAMPS,4-2-3-1,0.66,0.83,0.55,0.55,3,0.80,0.40,expert_prior,Deschamps counter plus squad depth
Germany,GER,E,Julian NAGELSMANN,4-2-3-1,0.74,0.75,0.82,0.50,4,0.82,0.52,expert_prior,Nagelsmann fluid high-press system
Ghana,GHA,L,Carlos BRITO LEAL DE QUEIROZ,4-4-2,0.48,0.70,0.45,0.62,2,0.78,0.40,expert_prior,Queiroz organized set-piece veteran
Haiti,HAI,C,Sebastien MIGNÉ,5-4-1,0.35,0.50,0.28,0.60,1,0.40,0.38,expert_prior,Migne debutant deep low-block minnow
Iran,IRN,G,Amir GHALEHNOY,4-4-2,0.48,0.62,0.45,0.55,2,0.50,0.40,expert_prior,Ghalehnoy pragmatic Asian low-block
Iraq,IRQ,I,Graham ARNOLD,4-2-3-1,0.52,0.58,0.48,0.55,2,0.55,0.42,expert_prior,Arnold resilient Asian newcomer
Ivory Coast,CIV,E,Emerse FAE,4-3-3,0.68,0.68,0.62,0.52,3,0.65,0.50,expert_prior,Fae AFCON-champion fluid attack
Japan,JPN,F,Hajime MORIYASU,4-2-3-1,0.65,0.78,0.68,0.48,3,0.75,0.48,expert_prior,Moriyasu organized Japan press
Jordan,JOR,J,Jamal SELLAMI,5-3-2,0.38,0.55,0.35,0.58,1,0.45,0.40,expert_prior,Sellami debutant compact block
Mexico,MEX,A,Javier AGUIRRE ONAINDIA,4-4-2,0.58,0.65,0.50,0.55,2,0.72,0.42,expert_prior,Aguirre veteran host pragmatist
Morocco,MAR,C,Mohamed OUAHBI,4-3-3,0.62,0.78,0.72,0.52,2,0.68,0.45,expert_prior,Ouahbi carries Morocco press
Netherlands,NED,F,Ronald KOEMAN,4-3-3,0.68,0.74,0.58,0.52,3,0.72,0.45,expert_prior,Koeman stable Dutch system
New Zealand,NZL,G,Darren BAZELEY,5-3-2,0.40,0.52,0.32,0.58,1,0.42,0.40,expert_prior,Bazeley Oceania low-block minnow
Norway,NOR,I,Stale SOLBAKKEN,4-3-3,0.78,0.62,0.65,0.48,2,0.55,0.48,expert_prior,Solbakken Haaland-led direct attack
Panama,PAN,L,Thomas CHRISTIANSEN TARIN,4-4-2,0.45,0.58,0.40,0.58,2,0.50,0.42,expert_prior,Christiansen compact CONCACAF block
Paraguay,PAR,D,Gustavo ALFARO,5-3-2,0.40,0.72,0.42,0.55,2,0.58,0.40,expert_prior,Alfaro hard defensive counters
Portugal,POR,K,Roberto MARTÍNEZ MONTOLIU,4-3-3,0.70,0.76,0.62,0.52,3,0.78,0.48,expert_prior,Martinez possession Nations League
Qatar,QAT,B,Julen LOPETEGUI ARGOTE,4-3-3,0.60,0.68,0.58,0.50,3,0.72,0.45,expert_prior,Lopetegui structured possession base
Saudi Arabia,KSA,H,Georgios DONIS,4-2-3-1,0.50,0.60,0.48,0.58,2,0.55,0.42,expert_prior,Donis mid-block Asian veteran
Scotland,SCO,C,Steve CLARKE,3-5-2,0.52,0.72,0.55,0.58,3,0.62,0.42,expert_prior,Clarke compact organized underdog
Senegal,SEN,I,Pape THIAW,4-3-3,0.62,0.68,0.58,0.52,2,0.55,0.45,expert_prior,Thiaw rookie coach physical side
South Africa,RSA,A,Hugo BROOS,4-2-3-1,0.48,0.58,0.45,0.55,2,0.62,0.45,expert_prior,Broos experienced African pragmatist
South Korea,KOR,A,Myungbo HONG,4-2-3-1,0.58,0.68,0.55,0.52,2,0.55,0.42,expert_prior,Hong structured Asian veteran
Spain,ESP,H,Luis DE LA FUENTE CASTILLO,4-3-3,0.72,0.82,0.68,0.48,3,0.80,0.48,expert_prior,De la Fuente Euro possession core
Sweden,SWE,F,Graham POTTER,4-2-3-1,0.65,0.62,0.55,0.50,3,0.68,0.50,expert_prior,Potter flexible but inconsistent
Switzerland,SUI,B,Murat YAKIN,4-2-3-1,0.55,0.76,0.52,0.52,2,0.68,0.42,expert_prior,Yakin solid organized Switzerland
Tunisia,TUN,F,Sabri LAMOUCHI,4-5-1,0.38,0.72,0.42,0.58,2,0.58,0.40,expert_prior,Lamouchi tight defensive Tunisia
Turkey,TUR,D,Vincenzo MONTELLA,4-2-3-1,0.75,0.58,0.62,0.48,3,0.62,0.50,expert_prior,Montella flair volatile attack
USA,USA,D,Mauricio POCHETTINO TROSSERO,4-3-3,0.72,0.70,0.80,0.48,3,0.78,0.52,expert_prior,Pochettino high-press host energy
Uruguay,URU,H,Marcelo BIELSA,3-3-1-3,0.85,0.65,0.95,0.45,2,0.55,0.60,expert_prior,Bielsa relentless man-marking intensity
Uzbekistan,UZB,K,Fabio CANNAVARO,4-2-3-1,0.55,0.58,0.52,0.50,2,0.52,0.45,expert_prior,Cannavaro debut WC milestone coach
