match_id,home,away,scenario_id,scenario_name,raw_base_weight,raw_tactical_delta,raw_player_delta,raw_source_delta,raw_probability_context_delta,raw_total_score,normalized_weight,base_weight,tactical_delta,player_delta,source_delta,probability_context_delta,weight,final_weight,home_lambda_delta,away_lambda_delta,variance_delta,over25_delta,btts_delta,htft_bias,htft_bias_semantic,score_family,triggered_by,evidence_summary,data_confidence,generated_at
WC2026-D31,Turkey,Paraguay,S09_fatigue_travel_second_half_drop,旅行/体能导致下半场防守断电,0.1,0,0,0,0,0.1,0.034403,0.1,0,0,0,0,0.034403,0.034403,0,0,0,0,0,平/胜;胜/胜;平/负;负/负,draw_ht|favorite_wins_ft;favorite_leads_ht|draw_ft;underdog_holds_ht|underdog_wins_ft,1-0;2-0;2-1;3-1,auto_matchup_features,,0.72,2026-06-19T10:38:25.607761+00:00
WC2026-D31,Turkey,Paraguay,S10_tactical_stalemate_mutual_constraint,双方战术互相牵制，进入僵持,0.1,0,0,0,0,0.1,0.034403,0.1,0,0,0,0,0.034403,0.034403,0,0,0,0,0,平/平;平/胜;平/负,draw_ht|draw_ft;underdog_holds_ht|draw_ft;draw_ht|favorite_wins_ft,0-0;1-0;0-1;1-1,auto_matchup_features,,0.72,2026-06-19T10:38:25.607761+00:00
WC2026-D32,USA,Australia,S01_favorite_early_break_open,强队早球后比赛被打开,0.1,1.1682,0,0,0.1379,1.4061,0.288358,0.1,1.1682,0,0,0.1379,0.288358,0.288358,0,0,0,0,0,胜/胜;负/负,favorite_leads_ht|favorite_wins_ft;underdog_holds_ht|favorite_wins_ft,2-0;3-0;3-1;4-1,auto_matchup_features,,0.75,2026-06-19T10:38:25.607761+00:00
WC2026-D32,USA,Australia,S02_low_block_survival,弱队低位守住上半场，比分压低,0.1,-0.1636,0,0,0,0,0,0.1,-0.1636,0,0,0,0,0,0,0,0,0,0,平/胜;平/平;平/负,underdog_holds_ht|favorite_wins_ft;draw_ht|draw_ft;underdog_holds_ht|draw_ft,0-0;1-0;1-1;2-0,auto_matchup_features,,0.75,2026-06-19T10:38:25.607761+00:00
WC2026-D32,USA,Australia,S03_wide_overload_crossfire,边路错位被持续打穿,0.1,0.3184,0,0,0,0.4184,0.085807,0.1,0.3184,0,0,0,0.085807,0.085807,0,0,0,0,0,胜/胜;平/胜;负/负;平/负,favorite_leads_ht|favorite_wins_ft;underdog_holds_ht|favorite_wins_ft;draw_ht|favorite_wins_ft,2-1;3-1;3-2,auto_matchup_features,,0.75,2026-06-19T10:38:25.607761+00:00
WC2026-D32,USA,Australia,S04_press_trap_turnover_goal,高压陷阱制造前场失误,0.1,0.6902,0,0,0,0.7902,0.162056,0.1,0.6902,0,0,0,0.162056,0.162056,0,0,0,0,0,胜/胜;负/负,favorite_leads_ht|favorite_wins_ft;draw_ht|favorite_wins_ft,1-0;2-0;2-1;3-1,auto_matchup_features,,0.75,2026-06-19T10:38:25.607761+00:00
WC2026-D32,USA,Australia,S05_high_line_vs_runner,高位防线被速度型前锋反复冲身后,0.1,0.5896,0,0,0,0.6896,0.141426,0.1,0.5896,0,0,0,0.141426,0.141426,0,0,0,0,0,负/负;平/负;胜/负;胜/胜,underdog_leads_ht|underdog_wins_ft;draw_ht|underdog_wins_ft;favorite_leads_ht|underdog_wins_ft,1-2;2-2;2-3;1-3,auto_matchup_features,,0.75,2026-06-19T10:38:25.607761+00:00
WC2026-D32,USA,Australia,S06_set_piece_breakthrough,定位球成为破局点,0.1,0.3538,0,0,0,0.4538,0.093062,0.1,0.3538,0,0,0,0.093062,0.093062,0,0,0,0,0,胜/胜;平/胜;平/负,draw_ht|favorite_wins_ft;favorite_leads_ht|favorite_wins_ft;draw_ht|draw_ft,1-0;2-0;2-1;1-1,auto_matchup_features,,0.75,2026-06-19T10:38:25.607761+00:00
WC2026-D32,USA,Australia,S07_late_chase_open_game,末段追分压上导致开放式尾段,0.1,0.3833,0,0,0.1379,0.6212,0.127406,0.1,0.3833,0,0,0.1379,0.127406,0.127406,0,0,0,0,0,平/胜;平/负;负/平;胜/平;负/胜;胜/负,draw_ht|favorite_wins_ft;underdog_holds_ht|underdog_wins_ft;favorite_leads_ht|draw_ft;draw_ht|underdog_wins_ft,2-1;1-2;2-2;3-2;2-3,auto_matchup_features,,0.75,2026-06-19T10:38:25.607761+00:00
WC2026-D32,USA,Australia,S08_strict_ref_card_penalty_chaos,严哨/点球/红牌使比赛进入混沌,0.1,0.1968,0,0,0,0.2968,0.060869,0.1,0.1968,0,0,0,0.060869,0.060869,0,0,0,0,0,胜/负;负/胜;平/胜;平/负,favorite_leads_ht|underdog_wins_ft;draw_ht|underdog_wins_ft;underdog_leads_ht|favorite_wins_ft;draw_ht|draw_ft,2-1;1-2;3-1;1-3;3-2,referee_style:Felix Zwayer,,0.75,2026-06-19T10:38:25.607761+00:00
WC2026-D32,USA,Australia,S09_fatigue_travel_second_half_drop,旅行/体能导致下半场防守断电,0.1,0,0,0,0,0.1,0.020508,0.1,0,0,0,0,0.020508,0.020508,0,0,0,0,0,平/胜;胜/胜;平/负;负/负,draw_ht|favorite_wins_ft;favorite_leads_ht|draw_ft;underdog_holds_ht|underdog_wins_ft,1-0;2-0;2-1;3-1,auto_matchup_features,,0.75,2026-06-19T10:38:25.607761+00:00
WC2026-D32,USA,Australia,S10_tactical_stalemate_mutual_constraint,双方战术互相牵制，进入僵持,0.1,0,0,0,0,0.1,0.020508,0.1,0,0,0,0,0.020508,0.020508,0,0,0,0,0,平/平;平/胜;平/负,draw_ht|draw_ft;underdog_holds_ht|draw_ft;draw_ht|favorite_wins_ft,0-0;1-0;0-1;1-1,auto_matchup_features,,0.75,2026-06-19T10:38:25.607761+00:00
