match_id,source_id,source_type,source_url,source_title,published_at,kickoff_time,available_before_kickoff,evidence_usage,minute,team,player,signal_type,summary,evidence_snippet,scenario_tags,source_authority,timestamp_precision,tactical_specificity,data_consistency,raw_confidence
WC2026-C29,fotmob_r1_brazil,xg_event_data,https://www.fotmob.com/en-GB/matches/morocco-vs-brazil/1qr4gd,FotMob Brazil 1-1 Morocco R1,2026-06-14 22:00,2026-06-19 21:00,true,pre_match_prediction,,Brazil,Vinicius Jr,general_observation,Brazil R1: 51% possession xG 1.26 vs 1.37; Vinicius scored; balanced press vs Morocco high press.,possession 51-49; big chances 1-2,general_observation,0.88,0.0,0.35,0.92,0.604
WC2026-C29,fotmob_r1_haiti,xg_event_data,https://www.fotmob.com/en-GB/matches/haiti-vs-scotland/1q0g2q,FotMob Haiti 0-1 Scotland R1,2026-06-14 23:30,2026-06-19 21:00,true,pre_match_prediction,,Haiti,Frantzdy Pierrot,low_block_success,Haiti R1: 54% possession but 0 goals xG 1.05; Pierrot 0.65 xG; possession without clear chances.,possession 54-46; big chances 1-2,low_block_survival|under_goals,0.88,0.0,0.4,0.9,0.611
WC2026-C29,wc2026_r2_strategy,competition_context,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,WC2026 R2 strategy notes match 29 (local: wc2026_r2_strategy_notes.md),2026-06-18 08:00,2026-06-19 21:00,true,pre_match_prediction,,Brazil,,strong_side_attack,Brazil must win to avoid R3 pressure; stronger attacking intent vs pure rotation mismatch.,Brazil opened with only 1 point,wide_overload|flank_mismatch,0.65,0.0,0.3,0.88,0.4845
WC2026-C29,match_officials_local,official_match,https://www.fifa.com/en/tournaments/mens/worldcup/canada-usa-mexico-2026/articles/brazil-haiti-group-c,Referee Alejandro Hernandez (ESP) - local match_officials.csv,,2026-06-19 21:00,false,pre_match_prediction,,,,card_or_referee_chaos,Referee Alejandro Hernandez (ESP) appointed; card profile moderate for WC group stage.,confirmed referee ESP,strict_ref_chaos|score_variance,0.78,0.0,0.1,0.85,0.4985
WC2026-C29,opta_analyst_brazil,professional_media,https://theanalyst.com/articles/brazil-world-cup-2026-tactics,Opta Analyst Brazil WC26 tactics,2026-06-17 14:00,2026-06-19 21:00,true,pre_match_prediction,,Brazil,Raphinha,set_piece_edge,Brazil wide overload and half-space runs from wingers; set-piece routines with Gabriel Marquinhos aerial threat.,wide overload set piece height,set_piece_breakthrough,0.75,0.0,0.5,0.82,0.5605
WC2026-C29,covers_odds,market_reference,https://www.covers.com/soccer/brazil-vs-haiti-odds-world-cup-2026,Covers Brazil Haiti odds,2026-06-19 08:00,2026-06-19 21:00,true,pre_match_prediction,,Brazil,,general_observation,Market prices Brazil heavy favorite -800; over 3.5 goals favored vs low-block Haiti.,Brazil -800 over 3.5,general_observation,0.55,0.0,0.15,0.8,0.3975
WC2026-C30,fifa_match_centre,official_match,https://www.fifa.com/en/tournaments/mens/worldcup/canada-usa-mexico-2026/articles/scotland-morocco-group-c,FIFA Scotland vs Morocco,2026-06-18 12:00,2026-06-19 18:00,true,pre_match_prediction,,,,general_observation,Scotland top Group C after 1-0 Haiti; Morocco 1-1 Brazil; knockout path stakes for both.,Scotland 3pts Morocco 1pt,general_observation,0.85,0.0,0.2,0.9,0.5575
WC2026-C30,yahoo_scotland_morocco,professional_media,https://sports.yahoo.com/articles/scotland-vs-morocco-picks-predictions-140309697.html,Scotland vs Morocco preview,2026-06-19 09:00,2026-06-19 18:00,true,pre_match_prediction,,Morocco,,tactical_mutual_lock,Morocco favored -130; defensive structure and Brazil draw show elite tournament level vs Scotland limited WC pedigree.,Morocco composure vs Brazil,tactical_lock|under_goals,0.72,0.0,0.45,0.85,0.5415
WC2026-C30,covers_scotland_morocco,professional_media,https://www.covers.com/world-cup/morocco-vs-scotland-prediction-picks-odds-friday-6-19-2026,Covers Morocco Scotland preview,2026-06-19 08:00,2026-06-19 18:00,true,pre_match_prediction,,Scotland,,low_block_success,Scotland may defend deep if trailing to protect GD; Morocco wait-and-strike transition style.,Scotland defend deep if 2-0 down,low_block_survival|under_goals,0.7,0.0,0.5,0.83,0.5395
WC2026-C30,fotmob_r1_morocco,xg_event_data,https://www.fotmob.com/en-GB/matches/morocco-vs-brazil/1qr4gd,FotMob Morocco 1-1 Brazil,2026-06-14 22:00,2026-06-19 18:00,true,pre_match_prediction,,Morocco,Brahim Diaz,pressing_success,Morocco R1: high press direct style; 49% poss xG 1.37; Saibari goal; competitive vs Brazil.,high-press-direct style_label,high_press_trap|opponent_build_up_risk,0.88,0.0,0.45,0.92,0.624
WC2026-C30,fotmob_r1_scotland,xg_event_data,https://www.fotmob.com/en-GB/matches/haiti-vs-scotland/1q0g2q,FotMob Scotland 1-0 Haiti,2026-06-14 23:30,2026-06-19 18:00,true,pre_match_prediction,,Scotland,,set_piece_edge,Scotland R1: direct set-piece approach; 46% possession xG 1.05; narrow win vs Haiti.,direct-set-piece style,set_piece_breakthrough,0.88,0.0,0.35,0.9,0.601
WC2026-C30,fifa_youtube_preview,official_match,https://www.youtube.com/watch?v=2az_yvJ3lXY,FIFA Match Preview Scotland Morocco,2026-06-19 07:00,2026-06-19 18:00,true,pre_match_prediction,,Morocco,Brahim Diaz,general_observation,Morocco expect to dominate ball; Scotland working on better possession after Haiti.,Morocco will dominate the ball,general_observation,0.8,0.0,0.3,0.85,0.5475
WC2026-C30,match_officials_local,official_match,https://www.fifa.com/en/tournaments/mens/worldcup/canada-usa-mexico-2026/articles/scotland-morocco-group-c,Referee Ilgiz Tantashev (UZB) - local match_officials.csv,,2026-06-19 18:00,false,pre_match_prediction,,,,card_or_referee_chaos,Referee Ilgiz Tantashev (UZB) confirmed for Gillette Stadium.,Ilgiz Tantashev UZB,strict_ref_chaos|score_variance,0.78,0.0,0.1,0.85,0.4985
WC2026-C30,wc2026_r2_strategy,competition_context,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,R2 strategy match 30 (local: wc2026_r2_strategy_notes.md),,2026-06-19 18:00,false,pre_match_prediction,,Scotland,,late_game_opening,Scotland can reach 6 pts; Morocco needs points; possible late draw acceptance if level.,Scotland may accept late draw,late_chase_open_game|tail_score,0.65,0.0,0.35,0.88,0.4945
WC2026-D31,fifa_match_centre,official_match,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021461,FIFA Turkey vs Paraguay MD2,2026-06-18 12:00,2026-06-19 20:00,true,pre_match_prediction,,,,general_observation,Group D survival match; both on 0 pts after R1 losses; USA Australia lead on 3 pts.,Turkey 0 Paraguay 0 pts,general_observation,0.85,0.0,0.2,0.9,0.5575
WC2026-D31,si_preview,professional_media,https://www.si.com/soccer/turkiye-vs-paraguay-world-cup-preview-predictions-lineups-6-19-26,SI Turkiye vs Paraguay preview,2026-06-19 10:00,2026-06-19 20:00,true,pre_match_prediction,,Paraguay,Gustavo Caballero,injury_or_forced_substitution,Paraguay likely without Caballero (muscle); Alonso struggled at LB; must-win after 4-1 USA loss.,Caballero muscular issue out,forced_sub|stability_loss,0.78,0.0,0.45,0.85,0.5685
WC2026-D31,fotmob_r1_turkey,xg_event_data,https://www.fotmob.com/en-GB/matches/turkiye-vs-australia/1gr3uk,FotMob Turkey 0-2 Australia,2026-06-14 23:00,2026-06-19 20:00,true,pre_match_prediction,,Turkey,,low_block_failure,Turkey R1: 72% possession xG 1.36 but 0 goals; dominated territorially but lost 0-2.,possession 72-28 xG 1.36-1.18,block_pulled_apart|over_goals,0.88,0.0,0.4,0.92,0.614
WC2026-D31,fotmob_r1_paraguay,xg_event_data,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,FotMob Paraguay 1-4 USA,2026-06-13 22:00,2026-06-19 20:00,true,pre_match_prediction,,Paraguay,Julio Enciso,pressing_broken,Paraguay R1: low block 35% poss xG 0.54 vs 1.42; Enciso scored; overwhelmed by USA press.,possession 35-65 xG 0.54,press_broken|space_in_midfield,0.88,0.0,0.45,0.92,0.624
WC2026-D31,opta_analyst_usa_paraguay,professional_media,https://theanalyst.com/articles/usa-paraguay-best-stats-world-cup-2026-balogun-ream-pulisic,Opta USA Paraguay stats,2026-06-14 10:00,2026-06-19 20:00,true,pre_match_prediction,,USA,,pressing_success,USA 530 high press regains vs Paraguay low block; template for how top sides break Paraguay.,530 high press regains,high_press_trap|opponent_build_up_risk,0.8,0.0,0.5,0.88,0.592
WC2026-D31,shekicks_preview,professional_media,https://shekicks.net/turkey-v-paraguay-predictions/,Turkey Paraguay predictions,2026-06-19 09:00,2026-06-19 20:00,true,pre_match_prediction,,Turkey,Arda Guler,late_game_opening,Must-win open game; Turkey edge via Guler Yildiz Akturkoglu; Over 2.5 likely given stakes.,must-win open end-to-end,late_chase_open_game|tail_score,0.68,0.0,0.4,0.82,0.509
WC2026-D31,match_officials_local,official_match,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021461,Referee Ivan Barton (SLV) - local match_officials.csv,,2026-06-19 20:00,false,pre_match_prediction,,,,card_or_referee_chaos,Referee Ivan Barton (SLV) confirmed Levi's Stadium.,Ivan Barton SLV,strict_ref_chaos|score_variance,0.78,0.0,0.1,0.85,0.4985
WC2026-D31,covers_odds,market_reference,https://www.covers.com/soccer/turkey-vs-paraguay-odds-world-cup-2026,Turkey Paraguay odds,2026-06-19 08:00,2026-06-19 20:00,true,pre_match_prediction,,Turkey,,general_observation,Market slight Turkey favorite +105; coin-flip must-win fixture.,Turkey +105,general_observation,0.55,0.0,0.1,0.8,0.3875
WC2026-D32,fifa_match_centre,official_match,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021462,FIFA USA vs Australia MD2,2026-06-18 12:00,2026-06-19 12:00,true,pre_match_prediction,,,,general_observation,Group D leaders clash Seattle; both 3 pts after USA 4-1 Paraguay Australia 2-0 Turkey.,both 3 pts Group D,general_observation,0.85,0.0,0.2,0.9,0.5575
WC2026-D32,socceroos_preview,official_match,https://socceroos.com.au/match/usa-v-australia-fifa-world-cuptm-2026-20-06-2026/22278774,Socceroos USA preview,2026-06-19 02:00,2026-06-19 12:00,true,pre_match_prediction,,Australia,,injury_or_forced_substitution,Popovic confirms full 26 fit; expect fast USA start; Pulisic fitness doubt key matchup.,full squad fit Pulisic doubt,forced_sub|stability_loss,0.82,0.0,0.35,0.88,0.571
WC2026-D32,fotmob_r1_usa,xg_event_data,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,FotMob USA 4-1 Paraguay,2026-06-13 22:00,2026-06-19 12:00,true,pre_match_prediction,,USA,Folarin Balogun,pressing_success,USA R1: 65% poss xG 1.42 high press; Balogun 2 goals; 4-1 win.,high-press-possession 65% xG 1.42,high_press_trap|opponent_build_up_risk,0.88,0.0,0.45,0.92,0.624
WC2026-D32,fotmob_r1_australia,xg_event_data,https://www.fotmob.com/en-GB/matches/turkiye-vs-australia/1gr3uk,FotMob Australia 2-0 Turkey,2026-06-14 23:00,2026-06-19 12:00,true,pre_match_prediction,,Australia,Nestory Irankunda,transition_threat,Australia R1: low block counter 28% poss xG 1.18; Irankunda impact; 2-0 upset win.,low-block-counter 28% poss,counter_attack|high_line_risk|tail_score,0.88,0.0,0.45,0.92,0.624
WC2026-D32,opta_analyst_australia,professional_media,https://theanalyst.com/articles/australia-vs-turkiye-stats-world-cup-2026,Opta Australia Turkey stats,2026-06-15 10:00,2026-06-19 12:00,true,pre_match_prediction,,Australia,,low_block_success,Australia absorbed 72% possession and punished transitions; compact mid-block template.,low-block-counter absorbed press,low_block_survival|under_goals,0.8,0.0,0.5,0.88,0.592
WC2026-D32,wc2026_r2_strategy,competition_context,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,R2 strategy match 32 (local: wc2026_r2_strategy_notes.md),,2026-06-19 12:00,false,pre_match_prediction,,USA,,tactical_mutual_lock,Winner reaches 6; late draw plausible if level given bracket path; USA values first in D.,late draw control plausible,tactical_lock|under_goals,0.65,0.0,0.4,0.88,0.5045
WC2026-D32,match_officials_local,official_match,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021462,Referee Felix Zwayer (GER) - local match_officials.csv,,2026-06-19 12:00,false,pre_match_prediction,,,,card_or_referee_chaos,Referee Felix Zwayer (GER) confirmed Lumen Field Seattle.,Felix Zwayer GER,strict_ref_chaos|score_variance,0.78,0.0,0.1,0.85,0.4985
WC2026-D32,yahoo_usa_australia,professional_media,https://sports.yahoo.com/articles/usa-vs-australia-predictions-picks-120000000.html,USA Australia preview,2026-06-19 07:00,2026-06-19 12:00,true,pre_match_prediction,,USA,Christian Pulisic,strong_side_attack,USA slight favorite at home Seattle; Pulisic probable; Balogun Reyna in form.,USA home favorite Pulisic probable,wide_overload|flank_mismatch,0.72,0.0,0.35,0.83,0.5185
